集計上の作物分類,作物名,用途,登録番号,農薬の種類,農薬の名称,適用病害虫雑草名,使用方法
果樹類,かんきつ,殺虫剤,18562,イミダクロプリド水和剤,アドマイヤーフロアブル,アザミウマ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,18562,イミダクロプリド水和剤,アドマイヤーフロアブル,アブラムシ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,18562,イミダクロプリド水和剤,アドマイヤーフロアブル,カメムシ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,18562,イミダクロプリド水和剤,アドマイヤーフロアブル,ケシキスイ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,18562,イミダクロプリド水和剤,アドマイヤーフロアブル,コアオハナムグリ,無人航空機による散布
果樹類,かんきつ,殺虫剤,18562,イミダクロプリド水和剤,アドマイヤーフロアブル,ゴマダラカミキリ成虫,無人航空機による散布
果樹類,かんきつ,殺虫剤,18562,イミダクロプリド水和剤,アドマイヤーフロアブル,ミカンキジラミ,無人航空機による散布
果樹類,かんきつ,殺虫剤,18562,イミダクロプリド水和剤,アドマイヤーフロアブル,ミカンバエ,無人航空機による散布
果樹類,かんきつ,殺虫剤,18562,イミダクロプリド水和剤,アドマイヤーフロアブル,ミカンハモグリガ,無人航空機による散布
果樹類,かんきつ,殺虫剤,18563,イミダクロプリド水和剤,クミアイアドマイヤーフロアブル,アザミウマ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,18563,イミダクロプリド水和剤,クミアイアドマイヤーフロアブル,アブラムシ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,18563,イミダクロプリド水和剤,クミアイアドマイヤーフロアブル,カメムシ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,18563,イミダクロプリド水和剤,クミアイアドマイヤーフロアブル,ケシキスイ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,18563,イミダクロプリド水和剤,クミアイアドマイヤーフロアブル,コアオハナムグリ,無人航空機による散布
果樹類,かんきつ,殺虫剤,18563,イミダクロプリド水和剤,クミアイアドマイヤーフロアブル,ゴマダラカミキリ成虫,無人航空機による散布
果樹類,かんきつ,殺虫剤,18563,イミダクロプリド水和剤,クミアイアドマイヤーフロアブル,ミカンキジラミ,無人航空機による散布
果樹類,かんきつ,殺虫剤,18563,イミダクロプリド水和剤,クミアイアドマイヤーフロアブル,ミカンバエ,無人航空機による散布
果樹類,かんきつ,殺虫剤,18563,イミダクロプリド水和剤,クミアイアドマイヤーフロアブル,ミカンハモグリガ,無人航空機による散布
果樹類,かんきつ,殺菌剤,23111,テブコナゾール・トリフロキシストロビン水和剤,ナティーボフロアブル,そうか病,無人航空機による散布
果樹類,かんきつ,殺菌剤,23111,テブコナゾール・トリフロキシストロビン水和剤,ナティーボフロアブル,灰色かび病,無人航空機による散布
果樹類,かんきつ,殺菌剤,23111,テブコナゾール・トリフロキシストロビン水和剤,ナティーボフロアブル,黒点病,無人航空機による散布
果樹類,かんきつ,殺菌剤,23111,テブコナゾール・トリフロキシストロビン水和剤,ナティーボフロアブル,炭疽病（さび果）,無人航空機による散布
果樹類,かんきつ,殺菌剤,23111,テブコナゾール・トリフロキシストロビン水和剤,ナティーボフロアブル,貯蔵病害（青かび病）,無人航空機による散布
果樹類,かんきつ,殺菌剤,23111,テブコナゾール・トリフロキシストロビン水和剤,ナティーボフロアブル,貯蔵病害（緑かび病）,無人航空機による散布
果樹類,かんきつ,殺虫剤,23187,スピロテトラマト水和剤,モベントフロアブル,アザミウマ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,23187,スピロテトラマト水和剤,モベントフロアブル,アブラムシ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,23187,スピロテトラマト水和剤,モベントフロアブル,カイガラムシ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,23187,スピロテトラマト水和剤,モベントフロアブル,チャノホコリダニ,無人航空機による散布
果樹類,かんきつ,殺虫剤,23187,スピロテトラマト水和剤,モベントフロアブル,ミカンサビダニ,無人航空機による散布
果樹類,かんきつ,殺虫剤,24102,イミダクロプリド・エチプロール水和剤,アドマイヤープラスフロアブル,アザミウマ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,24102,イミダクロプリド・エチプロール水和剤,アドマイヤープラスフロアブル,アブラムシ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,24102,イミダクロプリド・エチプロール水和剤,アドマイヤープラスフロアブル,カメムシ類,無人航空機による散布
果樹類,かんきつ,殺虫剤,24102,イミダクロプリド・エチプロール水和剤,アドマイヤープラスフロアブル,ゴマダラカミキリ成虫,無人航空機による散布
果樹類,かんきつ,殺虫剤,24102,イミダクロプリド・エチプロール水和剤,アドマイヤープラスフロアブル,ミカンバエ成虫,無人航空機による散布
果樹類,かんきつ,殺虫剤,24102,イミダクロプリド・エチプロール水和剤,アドマイヤープラスフロアブル,ミカンハモグリガ,無人航空機による散布
果樹類,かんきつ(みかんを除く),殺菌剤,14228,チオファネートメチル水和剤,トップジンＭゾル,貯蔵病害（軸腐病）,無人航空機による散布
