集計上の作物分類,作物名,用途,登録番号,農薬の種類,農薬の名称,適用病害虫雑草名,使用方法
稲,直播水稲,殺虫剤,22410,クロマフェノジド水和剤,ＭＩＣマトリックフロアブル,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,18969,シラフルオフェン乳剤,ＭＲ．ジョーカーＥＷ,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,18969,シラフルオフェン乳剤,ＭＲ．ジョーカーＥＷ,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,18969,シラフルオフェン乳剤,ＭＲ．ジョーカーＥＷ,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,18969,シラフルオフェン乳剤,ＭＲ．ジョーカーＥＷ,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,23490,燐酸第二鉄粒剤,Ｎスクミンベイト３,スクミリンゴガイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21722,シラフルオフェン乳剤,ＳＴ　ＭＲ．ジョーカーＥＷ,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21722,シラフルオフェン乳剤,ＳＴ　ＭＲ．ジョーカーＥＷ,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21722,シラフルオフェン乳剤,ＳＴ　ＭＲ．ジョーカーＥＷ,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21722,シラフルオフェン乳剤,ＳＴ　ＭＲ．ジョーカーＥＷ,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22662,ジノテフラン・ブプロフェジン水和剤,アプロードスタークルゾル,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22662,ジノテフラン・ブプロフェジン水和剤,アプロードスタークルゾル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22662,ジノテフラン・ブプロフェジン水和剤,アプロードスタークルゾル,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22985,ブプロフェジン水和剤,アプロードゾル,ウンカ類幼虫,無人航空機による散布
稲,直播水稲,殺虫剤,22985,ブプロフェジン水和剤,アプロードゾル,ツマグロヨコバイ幼虫,無人航空機による散布
稲,直播水稲,殺虫剤,24019,スルホキサフロル水和剤,エクシードフロアブル,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,24019,スルホキサフロル水和剤,エクシードフロアブル,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,24019,スルホキサフロル水和剤,エクシードフロアブル,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫剤,24240,フルピリミン水和剤,エミリアフロアブル,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,24240,フルピリミン水和剤,エミリアフロアブル,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,24240,フルピリミン水和剤,エミリアフロアブル,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫剤,21614,エチプロール・シラフルオフェン水和剤,キラップジョーカーフロアブル,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21614,エチプロール・シラフルオフェン水和剤,キラップジョーカーフロアブル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21614,エチプロール・シラフルオフェン水和剤,キラップジョーカーフロアブル,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21614,エチプロール・シラフルオフェン水和剤,キラップジョーカーフロアブル,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21614,エチプロール・シラフルオフェン水和剤,キラップジョーカーフロアブル,フタオビコヤガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21471,エチプロール水和剤,キラップフロアブル,イネドロオイムシ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21471,エチプロール水和剤,キラップフロアブル,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21471,エチプロール水和剤,キラップフロアブル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22661,ジノテフラン・ブプロフェジン水和剤,クミアイアプロードスタークルゾル,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22661,ジノテフラン・ブプロフェジン水和剤,クミアイアプロードスタークルゾル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22661,ジノテフラン・ブプロフェジン水和剤,クミアイアプロードスタークルゾル,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,24391,フルピリミン水和剤,クミアイエミリアフロアブル,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,24391,フルピリミン水和剤,クミアイエミリアフロアブル,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,24391,フルピリミン水和剤,クミアイエミリアフロアブル,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫剤,9576,ＭＥＰ乳剤,クミアイスミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,9576,ＭＥＰ乳剤,クミアイスミチオン乳剤,ニカメイチュウ,無人航空機による散布
