集計上の作物分類,作物名,用途,登録番号,農薬の種類,農薬の名称,適用病害虫雑草名,使用方法
稲,直播水稲,除草剤,19096,イマゾスルフロン・エトベンザニド・ダイムロン粒剤,ＨＣＣキックバイ１キロ粒剤,アオミドロ・藻類による表層はく離（北海道、関東・東山・東海）,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,19096,イマゾスルフロン・エトベンザニド・ダイムロン粒剤,ＨＣＣキックバイ１キロ粒剤,ウリカワ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,19096,イマゾスルフロン・エトベンザニド・ダイムロン粒剤,ＨＣＣキックバイ１キロ粒剤,セリ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,19096,イマゾスルフロン・エトベンザニド・ダイムロン粒剤,ＨＣＣキックバイ１キロ粒剤,ヒルムシロ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,19096,イマゾスルフロン・エトベンザニド・ダイムロン粒剤,ＨＣＣキックバイ１キロ粒剤,ヘラオモダカ（北海道）,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,19096,イマゾスルフロン・エトベンザニド・ダイムロン粒剤,ＨＣＣキックバイ１キロ粒剤,ホタルイ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,19096,イマゾスルフロン・エトベンザニド・ダイムロン粒剤,ＨＣＣキックバイ１キロ粒剤,マツバイ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,19096,イマゾスルフロン・エトベンザニド・ダイムロン粒剤,ＨＣＣキックバイ１キロ粒剤,ミズガヤツリ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,19096,イマゾスルフロン・エトベンザニド・ダイムロン粒剤,ＨＣＣキックバイ１キロ粒剤,水田一年生雑草,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,22607,オキサジクロメホン・テフリルトリオン粒剤,ＪＡエーワン１キロ粒剤,ウリカワ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,22607,オキサジクロメホン・テフリルトリオン粒剤,ＪＡエーワン１キロ粒剤,セリ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,22607,オキサジクロメホン・テフリルトリオン粒剤,ＪＡエーワン１キロ粒剤,ヒルムシロ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,22607,オキサジクロメホン・テフリルトリオン粒剤,ＪＡエーワン１キロ粒剤,ホタルイ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,22607,オキサジクロメホン・テフリルトリオン粒剤,ＪＡエーワン１キロ粒剤,マツバイ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,22607,オキサジクロメホン・テフリルトリオン粒剤,ＪＡエーワン１キロ粒剤,ミズガヤツリ,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,22607,オキサジクロメホン・テフリルトリオン粒剤,ＪＡエーワン１キロ粒剤,水田一年生雑草,湛水散布又は無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,除草剤,22611,オキサジクロメホン・テフリルトリオン水和剤,ＪＡエーワンフロアブル,ウリカワ,原液湛水散布又は水口施用又は無人ﾍﾘｺﾌﾟﾀｰによる滴下
稲,直播水稲,除草剤,22611,オキサジクロメホン・テフリルトリオン水和剤,ＪＡエーワンフロアブル,セリ,原液湛水散布又は水口施用又は無人ﾍﾘｺﾌﾟﾀｰによる滴下
稲,直播水稲,除草剤,22611,オキサジクロメホン・テフリルトリオン水和剤,ＪＡエーワンフロアブル,ヒルムシロ,原液湛水散布又は水口施用又は無人ﾍﾘｺﾌﾟﾀｰによる滴下
稲,直播水稲,除草剤,22611,オキサジクロメホン・テフリルトリオン水和剤,ＪＡエーワンフロアブル,ホタルイ,原液湛水散布又は水口施用又は無人ﾍﾘｺﾌﾟﾀｰによる滴下
稲,直播水稲,除草剤,22611,オキサジクロメホン・テフリルトリオン水和剤,ＪＡエーワンフロアブル,マツバイ,原液湛水散布又は水口施用又は無人ﾍﾘｺﾌﾟﾀｰによる滴下
稲,直播水稲,除草剤,22611,オキサジクロメホン・テフリルトリオン水和剤,ＪＡエーワンフロアブル,ミズガヤツリ,原液湛水散布又は水口施用又は無人ﾍﾘｺﾌﾟﾀｰによる滴下
稲,直播水稲,除草剤,22611,オキサジクロメホン・テフリルトリオン水和剤,ＪＡエーワンフロアブル,水田一年生雑草,原液湛水散布又は水口施用又は無人ﾍﾘｺﾌﾟﾀｰによる滴下
稲,直播水稲,除草剤,23614,フェントラザミド・ベンゾビシクロン・ベンゾフェナップ水和剤,ＯＡＴスマートフロアブル,ウリカワ,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,23614,フェントラザミド・ベンゾビシクロン・ベンゾフェナップ水和剤,ＯＡＴスマートフロアブル,ヒルムシロ,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,23614,フェントラザミド・ベンゾビシクロン・ベンゾフェナップ水和剤,ＯＡＴスマートフロアブル,ホタルイ,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,23614,フェントラザミド・ベンゾビシクロン・ベンゾフェナップ水和剤,ＯＡＴスマートフロアブル,マツバイ,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,23614,フェントラザミド・ベンゾビシクロン・ベンゾフェナップ水和剤,ＯＡＴスマートフロアブル,ミズガヤツリ,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,23614,フェントラザミド・ベンゾビシクロン・ベンゾフェナップ水和剤,ＯＡＴスマートフロアブル,一年生雑草,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,24336,トリアファモン・ベンゾビシクロン・ペントキサゾン粒剤,ＳＤＳイザナギ１キロ粒剤,ウリカワ,湛水散布又は無人航空機による散布
稲,直播水稲,除草剤,24336,トリアファモン・ベンゾビシクロン・ペントキサゾン粒剤,ＳＤＳイザナギ１キロ粒剤,セリ,湛水散布又は無人航空機による散布
稲,直播水稲,除草剤,24336,トリアファモン・ベンゾビシクロン・ペントキサゾン粒剤,ＳＤＳイザナギ１キロ粒剤,ヒルムシロ,湛水散布又は無人航空機による散布
稲,直播水稲,除草剤,24336,トリアファモン・ベンゾビシクロン・ペントキサゾン粒剤,ＳＤＳイザナギ１キロ粒剤,ホタルイ,湛水散布又は無人航空機による散布
稲,直播水稲,除草剤,24336,トリアファモン・ベンゾビシクロン・ペントキサゾン粒剤,ＳＤＳイザナギ１キロ粒剤,マツバイ,湛水散布又は無人航空機による散布
稲,直播水稲,除草剤,24336,トリアファモン・ベンゾビシクロン・ペントキサゾン粒剤,ＳＤＳイザナギ１キロ粒剤,ミズガヤツリ,湛水散布又は無人航空機による散布
稲,直播水稲,除草剤,24336,トリアファモン・ベンゾビシクロン・ペントキサゾン粒剤,ＳＤＳイザナギ１キロ粒剤,一年生雑草,湛水散布又は無人航空機による散布
稲,直播水稲,除草剤,23995,トリアファモン・ベンゾビシクロン・ペントキサゾン水和剤,ＳＤＳイザナギフロアブル,ウリカワ,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,23995,トリアファモン・ベンゾビシクロン・ペントキサゾン水和剤,ＳＤＳイザナギフロアブル,セリ,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,23995,トリアファモン・ベンゾビシクロン・ペントキサゾン水和剤,ＳＤＳイザナギフロアブル,ヒルムシロ,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,23995,トリアファモン・ベンゾビシクロン・ペントキサゾン水和剤,ＳＤＳイザナギフロアブル,ヘラオモダカ,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,23995,トリアファモン・ベンゾビシクロン・ペントキサゾン水和剤,ＳＤＳイザナギフロアブル,ホタルイ,原液湛水散布又は無人航空機による滴下
稲,直播水稲,除草剤,23995,トリアファモン・ベンゾビシクロン・ペントキサゾン水和剤,ＳＤＳイザナギフロアブル,マツバイ,原液湛水散布又は無人航空機による滴下
