ID,名前,金額,分類
26,水田農業の高収益化,6000,0
8,草地関連基盤整備,3333,0
77,農業農村整備事業,3333,3
84,農地耕作条件改善事業,3333,3
24,水田活用の直接支払い交付金,3050,0
12,農業の持続性の確保,2542,0
11,畜産酪農経営安定対策,2234,0
36,畑作物の直接支払交付金,2000,0
120,森林整備事業,1600,6
166,災害の復旧、復興,1500,8
167,災害復旧事業,1500,9
7,畜産環境対策の推進,1300,0
19,高収入作物次期支援対策,1300,0
159,農業水利施設、ため池等の対策,1155,8
121,治山事業,1000,6
150,水産基盤整備事業,1000,7
134,改正漁業法に基づく新たな資源管理の推進,873,7
80,農山漁村地域性交付金,807,3
122,農山漁村地域整備交付金,807,6
152,農山漁村地域整備交付金,807,7
109,棚田中山間地域対策,800,5
138,漁業経営安定対策の着実な実施,700,7
37,収入減少緩和対策交付金,655,0
3,畜産クラスター事業,600,0
5,畜産生産体制の強化,600,0
95,経営継続補助金,571,3
55,GOTOEATの延長,515,1
42,林業イノベーション推進,500,1
104,多面的昨日支払い交付金,487,5
160,治山施設等の対策,461,8
108,中山間農業ルネッサンス事業,406,5
22,土づくり、有機農業の推進,400,0
27,麦、大豆増産プロジェクト,400,0
123,林業成長産業総合対策,400,6
128,合板・製材・集成材国際競争力強化・輸出促進対策,363,6
21,産地生産基盤パワーアップ,342,0
161,森林整備による対策,338,8
2,和牛乳牛の増頭、増産,300,0
25,新市場開拓に向けた水田イノベーション,290,0
142,水産業競争力強化緊急事業,288,7
105,中山間地域直接支払い交付金,261,5
79,農業水路長寿命防災減災事業,258,3
50,新たな国民運動の推進,250,1
54,国産農林水産物販路多様化事業,250,1
78,農地耕作条件改善事業,248,3
85,農業委員会による農地利用の最適化の推進,248,3
4,国産チーズの競争力強化,240,0
162,漁業地域の対策,239,8
67,日本の強みを守るための知的財産対悪の強化,230,2
148,水産バリューチェーンの生産性向上,230,7
88,農業人材強化総合支援事業,205,3
20,強い農業担い手作り,200,0
35,収入保険制度,200,0
83,農地の大区画化、汎用化の推進,200,3
41,農業支援サービス事業育成,180,1
154,外国漁船対策費,180,7
6,肥育牛経営改善,176,0
57,2030年５兆円目標に向けた輸出強化,316,2
74,流通の合理化、高度化,160,2
38,野菜価格安定対策,156,0
13,野菜の生産振興対策,150,0
141,沿岸漁業の成長産業化,150,7
117,鳥獣被害防止対策とジビエ利活用の推進,130,5
32,甘味資源作物生産支援,111,0
9,家畜食肉の流通体制の強化,100,0
44,eMAFFによるDXの推進,100,1
124,林業木材産業成長産業促進対策,100,6
125,林業イノベーション推進総合対策,100,6
126,木材の需要拡大流通改革,100,6
127,現場技能者キャリアアップ林業労働安全対策,100,6
129,緑の人づくり」総合支援対策,100,6
110,農山漁村振興交付金,98,5
98,家畜衛生総合対策,96,4
43,スマート水産業の推進,90,1
135,資源調査、評価の着実な実施,85,7
28,農業再生協議会の活動強化,84,0
40,スマート農業総合推進対策,80,1
136,スマート水産業の推進,80,7
143,沖合・遠洋漁業の競争力強化,80,7
144,戦略的な養殖業の成長産業化,80,7
58,官民一体となった海外での販売力強化,60,2
86,機構集積支援事業,53,3
146,捕鯨対策,51,7
29,米殻周年供給、需要拡大事業,50,0
140,経営体育総合支援対策,45,7
47,農林水産研究の推進,44,1
157,漁村の多面的機能の発揮,43,7
48,知の集積と活用の場,42,1
53,再生可能エネルギーの導入推進,40,1
155,韓国中国等操業船対策,40,7
66,輸出先国の規制に対応した加工施設の整備,33,2
14,野菜施設園芸支援対策,30,0
15,果樹支援対策,30,0
16,茶薬用作物支援対策,30,0
17,花き支援対策,30,0
18,養蜂支援対策,30,0
31,畑作構造転換事業,30,0
151,漁場の機能増進漁村の交流促進,30,7
156,沖縄漁業基金事業,30,7
61,グローバル産地づくりの強化,28,2
70,GAP拡大の推進,28,2
99,消費安全対策交付金,27,4
106,環境保全型農業直接支払い交付金,25,5
49,開発技術の迅速な普及、定着,24,1
68,植物品種の海外への流出防止,24,2
71,地理的表示保護、活用総合推進事業,23,2
73,六次産業化の推進,23,2
64,畜産物輸出コンソーシアム推進対策,22,2
96,農業人材不足の対応,21,3
63,物流ルート確保,20,2
89,経営継承、経営発展の推進,20,3
90,担い手経営発展支援,17,3
10,加工施設再編等緊急対策事業,16,0
111,農泊の推進,15,5
112,農福、林福、水福の推進,15,5
113,都市農業の多様な機能の発揮,15,5
114,農山漁村の持続性確保を実現する次世代型コミュニティビジネスの展開,15,5
115,農業農村の情報通信環境の整備,15,5
116,廃棄の恐れのある農地の低コストでの維持管理、不測の事態に備えた生産,15,5
164,卸売市場の対策,15,8
131,森林・山村多面的機能発揮対策,14,6
145,内水面及びさけ・ます等栽培資源総合対策,14,7
59,国食産業の海外展開の後押し,10,2
137,TAC、IQの数量管理の導入と漁業者の自主的管理の推進,8,7
100,安全な生産資材の安定供給の推進,7,4
163,海岸堤防の対策,7,8
93,農林水産食品産業における作業安全の推進,6,3
62,一貫したコールドチェーンによる物流の構築,5,2
92,外国人材受け入れ総合人材支援事業,4,3
51,食育の推進と食文化の保護継承,3,1
118,特殊自然災害対策施設緊急整備事業,3,5
165,園芸産地における対策,3,8
101,生産、製造現場と連携したリスク管理,2,4
30,米粉の需要拡大支援,1,0
33,農業資材価格の調査,1,0
45,農業経営統計調査の情報還元,1,1
52,食品ロス削減,1,1
69,農業知的財産保護活用事業,1,2
91,女性が変える未来の農業推進事業,1,3
94,農業協同組合の監査コストの合理化の推進,1,3
130,新たな森林空間利用創出対策,1,6
132,花粉発生源対策推進事業,1,6
